사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2020-01,2호선,0218,종합운동장,12,2,1776,1566,5884,6305,16755,12693,26208,23535,19406,16495,13521,11928,12908,11406,13606,14450,13586,16261,16679,19015,15985,16884,17410,19590,19677,21975,21899,33230,13284,24544,11972,12644,12248,12742,14266,13000,2499,7954,336,2260,8,131,0,2,0,0
2020-01,2호선,0219,삼성(무역센터),146,1,5371,4807,8324,40223,16923,121432,24317,335521,24217,251880,25582,119755,37144,100992,48701,89509,64900,98010,82064,87745,106979,77630,126245,72886,194795,73287,312970,81382,195051,51248,144552,23902,123356,18962,87390,16139,24838,9108,3443,5464,10,1568,0,27,0,0
2020-01,2호선,0220,선릉,146,6,5730,6171,11391,38738,20973,104205,35022,295008,33635,217464,35426,99279,48324,66911,57764,59863,69552,70202,76739,61093,98724,53796,131036,50944,169307,55391,291029,64133,150980,46053,95049,26214,95986,22652,83382,20195,33129,12339,5671,5786,26,269,1,5,0,0
2020-01,2호선,0221,역삼,45,3,4086,7784,8916,37105,14936,125414,27869,351678,25631,271513,26415,112435,36852,72440,46353,60653,55858,71037,62500,62644,82230,54526,99335,49584,176083,56938,280874,68397,151122,48756,91858,26109,90601,20865,69357,18026,26940,11828,4855,3890,25,124,0,4,0,0
2020-01,2호선,0222,강남,310,6,17056,12736,25137,54183,44628,156082,70230,340216,60770,394071,63771,181481,86622,153252,115480,158549,149166,188718,152468,162738,183604,154123,208926,158864,267291,193937,374029,263058,255352,194223,207610,87101,251784,64384,271204,57073,127885,35444,23456,10153,171,283,7,17,0,0
2020-01,2호선,0223,교대(법원.검찰청),19,0,2861,7483,13229,24275,26311,52155,40516,151558,32126,144987,29666,73956,37649,66342,41832,61900,53110,67575,61223,62683,66159,56649,68614,56102,95143,67771,150290,88372,76296,58980,59768,31111,64807,27122,58115,25856,24186,14961,5043,4337,20,71,0,7,0,0
2020-01,2호선,0224,서초,2,0,1320,4929,6852,19138,14299,43812,24366,117501,25302,99067,19525,44420,28081,36922,26864,27275,36513,30278,36100,30068,40873,24013,45248,24151,65663,27097,105546,28639,51670,20769,32325,11796,34846,10420,23720,10548,8190,6148,1114,1779,5,17,1,5,0,0
2020-01,2호선,0225,방배,13,1,2868,3496,9277,12768,22320,24352,35180,72282,29077,47818,20847,26568,22479,21796,23940,22496,27211,25830,27127,25318,29388,24405,33351,26006,43997,31313,69831,39629,31184,34496,22431,21105,22694,20146,19167,21184,8857,12882,1840,3883,14,51,0,7,0,0
2020-01,2호선,0226,사당,239,4,12823,3514,22446,31975,72384,42302,100259,71762,75294,55750,49472,45009,47161,55767,55923,57217,61078,56147,65596,57350,65902,67343,67458,88361,79066,114516,101028,170163,71703,139733,64500,75066,74192,71740,75212,70138,45656,44082,8289,14197,60,1041,1,27,0,0
2020-01,2호선,0227,낙성대,42,2,11169,1992,24611,9896,78292,16471,128037,41593,83960,36370,45119,27694,38839,25415,43257,28945,43815,32504,38687,34654,38434,38568,41751,43372,49346,57708,56891,91095,32054,95086,24927,58232,22887,57276,19902,58242,10721,38248,1831,11528,19,375,1,12,0,0
2020-01,2호선,0228,서울대입구(관악구청),3905,20,27922,2905,41245,15519,128194,26263,187423,65874,127436,68614,73416,53226,66756,53229,72530,57956,80194,67766,71296,67861,74606,74736,80797,83843,90002,108016,104233,165656,66140,167684,54239,95817,54128,91621,52504,92572,28248,60274,4754,23308,47,3829,1,73,0,0
2020-01,2호선,0229,봉천,81,1,14248,1824,26561,8107,80680,10699,122201,25860,74665,23003,42805,21695,35425,23026,38313,25076,38659,28009,33165,30404,32451,37183,32795,43613,35085,52277,37565,80789,23309,77616,17724,47834,16272,47160,12417,45610,5629,28301,1039,8937,10,271,0,0,0,0
2020-01,2호선,0230,신림,286,17,38835,5074,75512,21667,211459,32226,321790,64662,192679,57517,109299,52260,93063,57082,97212,64149,97209,74931,88151,83015,86485,97290,92634,114569,101114,151361,109256,242827,74822,255485,60326,152982,58867,147500,54630,142615,31737,98889,5819,30555,69,808,0,0,0,0
2020-01,2호선,0231,신대방,148,4,21151,2449,34647,9703,89155,17355,133335,36317,85794,25731,50115,21323,41218,22293,42106,25055,41567,28639,36415,31471,34528,41973,36159,47613,39565,60556,47956,89033,27839,87680,20342,56971,16704,63362,13182,63998,6393,38324,1085,11032,12,383,0,0,0,0
2020-01,2호선,0232,구로디지털단지,176,8,36222,6567,50999,21744,139244,69743,190840,257694,123694,162115,77448,65489,69778,56558,76687,56283,80417,70543,73475,72047,77618,79279,90821,86852,129318,115856,238715,168175,128015,154457,79629,95397,66509,99533,55684,100145,27349,62035,4356,17001,33,747,0,1,0,0
2020-01,2호선,0233,대림(구로구청),538,14,30554,3376,30118,11371,65619,20838,99292,57694,73724,39259,46138,37336,38939,42196,41634,38423,43237,41048,39918,40911,40935,48201,44191,50969,51040,68204,64188,77163,36440,64188,25468,44726,21204,57177,15679,58820,8564,30699,1214,7854,28,403,9,4,0,0
2020-01,2호선,0234,신도림,3120,19,32818,5718,48482,18596,135727,39472,146940,120228,94169,80246,67295,74041,67304,71391,79047,77053,84802,83841,84034,79083,87606,85613,98526,97078,114918,116304,148442,179578,91482,155525,78652,87033,80845,80165,63607,80682,26992,61739,3376,26709,35,3426,0,52,0,0
